180 8055
5 107 9000
133 166 9000
44 171 9000
58 144 9000
5 59 9000
107 169 3500
69 139 9000
62 153 30
62 163 9000
6 71 30
47 71 9000
99 167 9000
60 103 3500
43 139 9000
63 144 30
45 73 9000
93 168 3500
97 124 30
120 168 9000
49 85 30
91 96 3500
78 99 9000
70 117 3500
21 52 9000
13 76 9000
29 65 30
77 173 30
41 85 3500
10 59 30
58 95 30
90 118 9000
39 131 3500
28 52 3500
72 156 3500
12 158 9000
90 135 9000
19 156 30
92 133 9000
18 177 9000
131 138 3500
118 160 3500
68 146 30
63 177 30
78 90 9000
118 145 9000
73 83 10000
126 158 30
0 129 30
134 177 3500
148 162 9000
51 142 3500
82 92 3500
19 92 30
8 71 30
7 13 3500
4 145 30
92 123 9000
7 22 3500
11 153 30
98 140 9000
117 135 3500
66 151 9000
38 140 9000
18 122 9000
25 132 30
17 57 3500
37 38 0
99 133 3500
12 127 9000
12 78 9000
94 167 9000
70 144 30
31 35 10000
10 38 30
25 165 3500
37 96 30
56 173 3500
93 150 3500
24 71 9000
84 171 9000
17 34 3500
142 143 20
24 172 9000
5 41 3500
32 152 3500
129 173 9000
15 59 3500
133 172 3500
75 158 3500
28 145 3500
63 148 9000
89 139 30
17 117 9000
79 92 3500
171 175 10000
48 107 9000
146 176 9000
98 99 20
76 96 3500
5 138 9000
49 170 3500
80 85 3500
64 148 9000
76 88 9000
76 123 9000
3 20 9000
77 156 9000
8 154 30
107 137 3500
78 167 9000
86 142 9000
46 127 3500
23 179 9000
76 142 30
57 66 9000
160 178 3500
64 168 30
55 118 9000
51 88 9000
9 104 9000
113 144 3500
84 153 9000
71 125 3500
104 140 9000
155 178 9000
81 160 9000
8 85 30
90 91 20
0 29 30
127 137 9000
80 178 30
157 163 10000
132 153 9000
95 150 3500
19 94 9000
35 111 3500
143 154 9000
44 61 30
9 129 9000
60 160 9000
78 110 3500
37 143 30
77 118 3500
127 140 3500
1 138 30
11 132 9000
44 151 3500
55 177 3500
82 122 30
114 120 3500
20 155 30
38 165 30
131 169 9000
42 167 30
24 124 30
2 59 30
20 38 3500
148 157 3500
124 166 9000
99 152 9000
150 155 10000
72 93 3500
0 41 30
1 130 9000
25 34 10000
0 34 30
26 171 30
113 157 3500
15 147 9000
15 177 9000
66 108 3500
12 102 30
79 138 9000
11 30 3500
61 164 30
92 130 3500
148 166 3500
17 137 3500
63 115 3500
132 174 3500
75 87 9000
24 115 3500
118 149 3500
111 158 3500
35 106 30
71 145 30
46 148 9000
34 106 30
17 176 9000
57 83 9000
9 63 9000
103 154 30
135 168 3500
16 30 9000
107 162 3500
95 96 9000
81 176 9000
51 70 30
114 146 3500
8 142 30
3 4 0
58 138 3500
98 139 3500
33 153 3500
27 45 9000
111 121 3500
0 42 30
91 178 9000
15 179 30
118 138 3500
113 159 9000
110 123 9000
29 64 30
11 164 30
54 68 30
136 149 30
24 90 30
3 176 30
27 84 9000
79 102 3500
44 92 9000
69 156 9000
62 98 3500
30 135 9000
121 134 3500
61 92 9000
47 83 30
45 77 9000
93 157 30
110 124 3500
87 145 9000
32 90 9000
14 104 30
43 174 3500
26 107 30
41 166 30
69 158 9000
3 54 3500
45 98 30
52 58 10000
44 63 9000
15 19 10000
35 171 9000
17 88 30
20 102 30
93 173 9000
66 126 9000
121 177 3500
22 124 9000
28 83 3500
61 70 10000
29 72 3500
84 160 9000
30 153 9000
35 77 3500
27 75 9000
32 63 30
50 174 3500
42 43 20
84 142 30
82 98 3500
9 27 3500
26 37 3500
43 117 9000
35 55 3500
54 148 9000
121 129 10000
20 44 3500
36 77 30
57 61 30
99 132 3500
27 58 3500
7 66 9000
53 86 9000
82 166 3500
66 143 9000
25 35 10000
145 160 3500
115 160 3500
38 137 9000
126 150 9000
5 61 3500
38 173 3500
144 153 10000
8 20 30
99 162 3500
60 61 20
66 116 3500
111 152 9000
75 99 3500
31 112 3500
52 163 3500
92 139 9000
86 154 9000
88 158 9000
70 170 9000
86 159 9000
95 149 3500
89 176 3500
96 169 3500
73 164 9000
79 108 3500
134 158 9000
29 129 9000
3 107 3500
20 108 3500
150 152 10000
20 127 3500
24 179 9000
15 78 30
39 46 10000
73 95 9000
105 144 30
1 131 9000
94 129 3500
80 103 9000
14 94 9000
46 119 30
48 49 20
35 110 3500
69 176 30
71 176 9000
30 33 10000
33 151 3500
59 73 30
61 147 30
75 155 9000
110 129 9000
55 58 10000
10 136 30
82 176 9000
12 168 9000
14 119 3500
13 71 9000
58 163 9000
115 175 30
67 79 9000
19 47 3500
73 114 3500
92 102 3500
41 70 30
68 150 9000
132 162 3500
34 143 30
61 179 9000
23 89 30
135 156 3500
30 65 30
140 145 9000
114 133 3500
102 145 30
30 178 30
103 106 10000
39 82 9000
173 177 10000
67 138 3500
130 177 3500
119 134 3500
13 15 10000
0 177 30
102 176 3500
75 161 9000
77 82 10000
154 166 9000
6 73 30
135 171 3500
73 115 3500
9 134 30
18 167 30
82 127 9000
50 130 9000
0 3 10000
13 108 9000
107 146 9000
40 78 30
12 18 10000
18 148 9000
1 11 10000
111 139 9000
108 179 9000
64 138 3500
7 91 3500
22 84 9000
40 74 9000
33 137 9000
105 109 30
38 43 10000
36 94 9000
34 70 9000
7 132 9000
95 172 3500
7 21 3500
23 86 30
149 179 3500
14 57 3500
55 74 30
45 71 30
51 143 3500
105 108 30
11 101 9000
34 76 3500
18 67 9000
88 177 3500
17 120 3500
71 88 3500
13 36 3500
5 106 9000
54 133 3500
23 98 30
22 30 3500
80 154 9000
33 76 3500
14 127 3500
119 156 9000
61 135 9000
17 115 3500
48 105 3500
65 144 9000
25 131 30
39 81 9000
13 174 9000
51 58 10000
22 68 3500
65 175 9000
152 164 9000
38 77 9000
67 88 9000
33 171 30
64 134 3500
19 147 9000
144 154 10000
17 152 9000
78 104 9000
124 174 3500
48 50 10000
36 51 3500
130 173 3500
95 170 9000
44 72 9000
52 124 9000
15 140 9000
4 60 30
139 143 10000
122 143 3500
50 161 3500
41 98 9000
120 127 10000
26 53 9000
24 137 30
90 130 3500
49 113 9000
91 104 3500
86 136 9000
87 146 3500
14 162 9000
6 176 30
154 168 9000
5 66 9000
32 120 30
118 161 3500
56 119 30
30 156 9000
36 45 10000
12 128 3500
4 64 30
112 127 9000
39 88 3500
21 58 3500
50 136 9000
47 96 30
16 29 9000
29 155 3500
61 129 9000
14 169 30
121 143 9000
38 171 9000
23 176 9000
146 179 3500
86 152 3500
20 93 9000
126 173 3500
91 128 3500
14 116 3500
23 68 3500
139 165 3500
75 130 30
28 168 30
4 150 30
19 61 3500
120 175 3500
125 170 9000
72 179 9000
66 70 10000
144 174 3500
26 95 9000
59 132 9000
12 70 9000
85 120 9000
4 138 30
37 123 3500
18 116 9000
114 138 3500
15 170 9000
48 141 3500
102 119 9000
54 102 9000
33 169 30
121 159 9000
21 148 30
153 170 9000
30 61 9000
17 72 9000
35 76 3500
18 63 3500
4 112 30
33 109 3500
70 120 3500
37 78 30
117 138 9000
63 134 3500
96 103 10000
30 179 30
135 169 3500
83 175 9000
116 134 3500
130 165 9000
97 161 3500
94 135 9000
6 99 30
35 122 9000
119 123 3500
17 114 3500
47 69 9000
20 40 3500
62 91 3500
159 169 3500
31 74 3500
30 176 30
74 95 3500
0 12 30
80 149 3500
62 172 9000
114 166 3500
0 71 30
35 167 3500
98 117 9000
37 69 9000
32 77 3500
37 159 9000
115 136 3500
33 63 30
53 58 10000
28 149 3500
69 171 30
85 124 3500
119 174 9000
72 150 3500
64 89 9000
84 89 10000
27 132 9000
45 145 9000
35 37 9000
81 112 3500
88 143 30
38 154 9000
89 157 30
12 171 9000
63 70 10000
4 87 30
30 110 9000
106 119 30
48 62 9000
21 78 30
8 140 30
97 143 9000
88 96 3500
73 144 3500
117 146 9000
106 139 3500
163 179 3500
11 89 9000
119 161 3500
23 134 3500
99 158 3500
23 46 3500
29 104 9000
21 59 3500
47 138 9000
74 119 3500
80 93 9000
7 36 3500
132 140 10000
21 157 9000
110 136 9000
76 129 9000
68 87 3500
26 43 3500
131 134 3500
95 125 3500
83 100 3500
1 141 30
19 149 9000
47 168 3500
22 117 3500
153 175 3500
17 45 3500
116 130 3500
23 113 3500
136 148 30
2 80 30
68 147 30
67 179 30
116 152 9000
30 86 9000
21 63 9000
77 141 30
62 157 9000
124 177 9000
35 39 3500
2 108 30
85 153 9000
75 94 3500
38 104 30
12 137 9000
92 112 9000
88 153 3500
66 113 9000
168 170 10000
9 65 3500
142 171 3500
118 156 9000
60 163 9000
33 163 3500
123 156 9000
28 124 9000
96 101 10000
19 75 30
12 176 9000
44 78 9000
17 90 30
139 145 9000
101 120 30
128 138 3500
93 97 3500
83 137 9000
22 23 20
93 139 9000
49 162 9000
33 48 3500
126 135 3500
8 89 30
123 136 3500
59 107 9000
5 105 3500
68 157 9000
38 108 30
119 155 9000
107 147 9000
35 115 3500
116 162 9000
92 154 9000
51 158 3500
10 26 30
101 154 30
110 111 20
19 59 9000
53 96 3500
45 84 3500
62 158 9000
49 94 30
68 85 9000
160 174 9000
29 175 9000
1 59 3500
16 23 10000
92 138 9000
103 174 3500
118 155 9000
142 144 9000
135 166 3500
55 159 9000
23 148 30
42 135 30
3 89 3500
11 61 9000
61 141 9000
107 156 3500
124 145 3500
88 171 3500
19 133 9000
121 149 3500
4 84 30
29 63 30
77 170 9000
93 122 9000
88 159 9000
132 163 3500
109 148 3500
3 68 9000
140 167 3500
55 75 30
51 119 30
2 71 30
34 135 9000
65 92 3500
124 173 3500
115 153 3500
9 58 3500
128 179 3500
59 165 3500
28 74 3500
1 66 3500
52 97 3500
134 140 10000
74 162 9000
87 121 3500
69 95 9000
61 93 9000
74 178 30
66 86 3500
146 151 10000
34 64 9000
61 123 9000
130 178 9000
120 163 9000
23 39 9000
14 17 10000
149 158 3500
99 175 9000
104 160 3500
27 178 30
17 36 3500
10 101 30
83 107 9000
113 115 10000
19 137 3500
21 71 3500
1 45 3500
64 93 3500
67 147 9000
16 129 9000
112 151 9000
129 148 3500
61 73 9000
48 124 9000
24 97 30
5 172 30
119 169 9000
128 161 30
34 38 3500
73 133 30
85 129 3500
61 157 30
2 114 30
19 111 9000
23 124 9000
85 123 3500
6 114 30
71 121 3500
85 106 9000
142 149 9000
48 117 30
113 166 3500
53 92 9000
152 179 3500
129 157 9000
6 159 30
107 139 3500
88 139 30
28 164 3500
46 126 3500
88 152 3500
138 141 10000
57 164 3500
94 179 3500
35 90 30
24 160 9000
3 34 3500
79 81 10000
96 168 3500
75 137 9000
33 141 9000
75 145 9000
114 153 3500
35 141 9000
149 155 10000
4 134 30
77 137 9000
55 72 30
60 89 3500
92 119 30
96 113 30
45 52 3500
46 145 3500
94 130 9000
13 141 3500
88 140 9000
140 153 30
45 165 30
141 152 30
149 168 3500
67 167 30
15 168 30
54 161 3500
56 101 3500
10 24 30
11 179 9000
21 172 30
108 146 3500
58 62 9000
26 34 10000
21 41 3500
51 109 30
14 141 9000
132 138 10000
107 112 30
29 124 9000
128 145 3500
118 147 3500
156 172 3500
70 128 9000
150 178 3500
141 172 9000
124 143 3500
18 99 9000
12 27 3500
21 136 3500
48 115 9000
58 148 9000
65 122 3500
70 135 9000
14 66 3500
25 68 9000
23 37 3500
0 134 30
101 149 30
95 139 30
58 105 3500
140 147 30
126 129 10000
32 169 30
86 160 30
41 57 3500
27 109 3500
24 138 30
54 86 9000
36 152 3500
43 160 9000
90 102 9000
52 132 3500
32 125 30
131 145 9000
52 177 3500
17 49 9000
61 137 3500
69 129 3500
117 152 9000
14 118 3500
44 108 30
59 159 3500
16 94 9000
38 132 9000
55 155 30
17 58 9000
70 168 9000
73 150 3500
93 137 9000
65 152 9000
2 45 30
45 154 9000
16 82 9000
97 119 30
100 132 3500
0 160 30
17 100 9000
2 9 10000
65 140 3500
151 175 9000
3 30 9000
37 109 30
90 143 30
112 117 10000
74 147 3500
8 168 30
7 134 9000
25 107 30
9 81 3500
3 141 30
2 3 20
124 135 3500
80 161 9000
49 117 30
19 143 9000
35 164 3500
16 27 3500
41 68 9000
76 122 9000
4 94 30
26 153 3500
93 158 9000
92 156 30
68 126 3500
5 125 30
149 154 10000
58 89 9000
0 153 30
7 33 9000
52 161 3500
9 158 9000
11 45 3500
77 142 30
53 175 3500
82 167 3500
49 83 30
80 142 9000
41 119 9000
39 62 9000
135 177 3500
13 18 10000
62 75 9000
2 23 30
32 34 10000
110 156 3500
16 145 9000
41 138 9000
19 38 3500
158 166 10000
37 165 9000
86 98 9000
25 133 30
16 110 9000
19 44 3500
59 87 30
58 114 9000
41 112 9000
22 164 9000
64 69 10000
19 97 9000
109 136 3500
112 132 3500
72 84 9000
104 149 30
50 104 9000
46 153 3500
92 144 9000
150 160 9000
48 56 10000
90 124 9000
26 82 3500
13 166 30
2 111 30
152 156 3500
42 74 9000
147 162 3500
78 91 9000
60 106 3500
10 150 30
22 50 9000
18 174 30
6 15 30
69 84 9000
119 172 9000
15 120 9000
69 109 3500
69 83 3500
73 159 9000
14 136 3500
26 113 9000
4 47 30
4 31 30
118 158 3500
134 143 10000
92 170 3500
76 152 3500
113 148 9000
25 67 9000
22 49 3500
161 165 10000
4 44 30
130 140 3500
56 131 9000
58 103 3500
23 42 3500
155 156 9000
46 160 9000
124 147 3500
44 135 9000
51 65 9000
23 158 9000
2 142 30
39 112 30
57 160 3500
141 164 9000
103 156 3500
118 157 9000
0 68 30
46 147 3500
125 147 3500
30 54 3500
3 48 3500
28 111 9000
72 110 3500
36 44 10000
104 173 9000
87 169 3500
83 119 9000
158 174 3500
53 149 9000
8 76 30
2 35 30
23 146 9000
31 85 30
11 149 30
12 161 30
67 176 30
60 107 3500
3 118 9000
110 116 10000
141 160 3500
96 157 3500
2 172 30
37 141 30
65 102 3500
72 123 30
31 91 30
94 151 3500
21 57 3500
135 140 10000
131 156 9000
73 169 9000
37 53 3500
13 35 9000
156 171 3500
36 105 30
0 140 30
12 77 9000
4 69 30
10 32 30
60 84 3500
128 170 3500
73 119 9000
85 119 30
125 177 9000
35 114 3500
34 63 9000
7 96 9000
46 164 9000
33 131 30
77 167 9000
161 169 3500
98 150 30
34 93 9000
63 160 9000
37 177 3500
126 165 30
26 108 3500
5 54 3500
13 150 30
171 177 10000
51 156 9000
28 157 9000
64 161 9000
98 170 3500
45 75 9000
49 95 30
21 165 9000
44 104 30
56 179 3500
74 102 9000
34 62 9000
6 154 30
14 98 30
19 52 3500
85 148 3500
31 44 3500
74 146 3500
2 92 30
22 95 9000
44 62 9000
138 149 30
150 165 3500
91 165 9000
43 99 9000
13 165 9000
59 174 9000
48 69 9000
85 126 3500
42 98 9000
28 84 30
31 51 9000
39 170 9000
8 49 30
114 147 3500
100 102 10000
54 99 3500
70 177 9000
3 71 3500
156 170 3500
155 169 9000
61 76 3500
113 160 3500
26 149 3500
49 63 9000
12 64 3500
27 126 30
97 116 9000
131 152 3500
41 146 9000
170 178 10000
23 62 3500
56 166 9000
111 176 30
36 65 9000
64 83 3500
3 139 30
1 117 9000
66 106 9000
29 85 30
71 94 3500
154 162 3500
79 161 3500
71 95 3500
104 141 9000
72 103 3500
28 70 9000
55 172 3500
25 94 30
140 146 30
24 27 10000
16 95 9000
75 146 3500
48 118 30
30 94 30
73 113 3500
103 162 9000
40 103 9000
70 147 30
18 64 9000
112 158 9000
121 145 9000
85 135 9000
54 149 9000
52 59 10000
30 84 30
34 100 30
46 107 30
10 96 30
43 145 3500
33 166 3500
34 39 3500
97 154 9000
101 175 3500
136 165 3500
60 70 10000
104 127 9000
104 139 3500
72 133 30
44 134 9000
119 159 3500
55 61 30
83 148 3500
59 112 9000
119 150 3500
3 77 9000
90 154 3500
85 95 10000
14 79 30
112 165 9000
64 104 3500
59 61 9000
61 178 9000
39 142 9000
83 104 3500
15 72 9000
17 141 3500
142 176 3500
161 171 3500
66 76 9000
34 71 9000
97 114 30
52 101 9000
11 20 3500
105 121 9000
45 61 30
15 97 9000
130 136 3500
108 120 9000
33 92 9000
63 167 9000
3 135 30
66 158 30
113 141 9000
7 156 9000
160 162 10000
24 120 30
38 71 30
56 75 9000
7 99 3500
54 160 3500
106 179 3500
80 124 9000
59 65 9000
162 177 3500
112 137 3500
22 42 3500
126 131 10000
2 33 30
89 94 10000
95 97 9000
10 89 30
64 142 9000
27 36 3500
128 132 3500
9 95 9000
14 148 30
24 153 3500
139 166 3500
66 144 9000
58 143 9000
51 97 3500
160 176 3500
81 101 9000
101 144 30
40 93 3500
33 102 30
30 38 3500
3 153 30
80 176 9000
15 30 3500
70 141 9000
106 113 30
64 127 9000
40 55 9000
74 127 9000
32 41 3500
33 175 9000
97 159 9000
50 151 9000
9 66 3500
49 143 9000
7 59 9000
16 139 3500
151 156 3500
81 146 3500
144 161 3500
113 174 30
164 165 20
125 166 9000
86 124 3500
34 116 3500
20 163 9000
6 75 30
42 108 9000
65 97 9000
57 131 9000
35 53 3500
85 93 10000
27 146 3500
37 87 3500
22 119 9000
93 109 30
16 109 3500
68 73 3500
16 91 30
16 165 9000
57 60 30
108 127 3500
92 126 3500
116 165 3500
69 72 3500
73 104 3500
103 155 30
31 69 30
87 104 9000
30 174 9000
58 164 3500
118 154 9000
73 138 9000
2 70 30
7 172 30
81 92 9000
91 131 3500
4 161 30
19 95 9000
80 177 9000
37 110 9000
82 109 9000
10 64 30
89 96 3500
103 133 3500
138 147 30
141 175 9000
80 171 9000
66 150 9000
119 144 9000
37 176 3500
52 164 9000
72 87 3500
123 145 3500
13 112 3500
79 135 30
50 65 9000
8 97 30
64 121 3500
54 70 30
30 35 10000
5 152 9000
24 125 30
53 74 30
79 133 30
86 110 30
60 65 10000
80 145 9000
10 31 30
32 147 3500
38 75 9000
47 129 3500
173 176 10000
63 132 3500
74 109 3500
13 33 3500
12 126 9000
51 126 9000
9 178 9000
60 118 9000
39 68 9000
7 41 3500
28 147 9000
129 140 9000
40 41 20
69 166 9000
2 96 30
94 143 30
77 146 3500
21 149 30
37 144 3500
94 163 9000
5 93 9000
54 154 30
172 173 20
63 106 3500
107 163 3500
116 158 3500
130 166 9000
35 72 9000
12 134 3500
169 179 10000
71 174 9000
80 89 3500
64 87 3500
95 138 30
89 104 3500
27 33 10000
79 91 9000
37 174 9000
141 149 30
132 161 3500
103 131 30
9 166 9000
104 175 9000
43 135 30
16 136 3500
52 102 9000
55 116 9000
96 127 30
19 98 9000
65 168 30
25 157 3500
121 141 3500
78 103 3500
6 30 30
87 152 3500
120 157 9000
63 166 9000
56 78 9000
63 120 9000
75 167 3500
41 179 9000
112 133 3500
28 81 3500
55 113 9000
31 48 3500
57 136 9000
23 117 3500
104 153 9000
133 168 9000
117 129 9000
14 139 3500
23 161 30
102 137 9000
127 151 9000
17 66 9000
17 94 9000
80 110 9000
117 162 9000
87 101 3500
68 172 9000
57 106 3500
63 162 9000
46 97 30
93 178 3500
78 132 30
28 160 3500
2 44 30
1 18 3500
69 161 9000
27 42 3500
131 133 9000
44 70 30
94 166 9000
88 135 9000
52 92 9000
107 136 3500
133 157 9000
